FamiliaDesc,EspecialidadCertificado,CentroCP,CursoCodigo,DirigidoA,CentroMunicipio,CursoDesc,Censo,CentroTfno,Duracion,SectorDesc,EspecialidadDesc1,CentroEmail,Modalidad,CentroDireccion,SieCodigo,EspecialidadDesc,AreaDesc,CentroDesc
Informática  y comunicaciones,NO,28932,18/8000,Desempleados,MOSTOLES,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,1564,916853090,200,Servicios,DESARROLLO DE APPS PARA IOS CON OBJETIVE C Y SWIFT,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8000,IFCD27,Desarrollo,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8001,Desempleados,MOSTOLES,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,1564,916853090,300,Servicios,DESARROLLO DE VIDEOJUEGOS Y REALIDAD VIRTUAL CON UNITY 3D,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8001,IFCD28,Desarrollo,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8002,Desempleados,MOSTOLES,TÉCNICO EN SOFTWARE OFIMÁTICO,1564,916853090,350,Servicios,TÉCNICO EN SOFTWARE OFIMÁTICO,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8002,IFCI17,Informática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8003,Desempleados,MOSTOLES,HERRAMIENTAS WEB 2.0,1564,916853090,100,Servicios,HERRAMIENTAS WEB 2.0,btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8003,IFCT37,Sistemas y telemática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Informática  y comunicaciones,NO,28932,18/8004,Desempleados,MOSTOLES,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",1564,916853090,100,Servicios,"COMMUNITY MANAGER, HERRAMIENTAS, ANALÁTICA E INFORMES",btomas@mostolesdesarrollo.es,Presencial,"Calle Salzillo, 04-BIS  ",CCLL2018/8004,IFCT38,Sistemas y telemática,CENTRO DE FORMACION MUNICIPAL MOSTOLES   DESARROLLO
Actividades fisicas y deportivas,SÍ,28938,18/8005,Desempleados,MOSTOLES,SOCORRISMO EN INSTALACIONES ACUÁTICAS,23187,916853090,290,Servicios,SOCORRISMO EN INSTALACIONES ACUÁTICAS,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8005,AFDP0109,Prevención y recuperación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Sanidad,SÍ,28938,18/8006,Desempleados,MOSTOLES,TRANSPORTE SANITARIO,23187,916853090,400,Servicios,TRANSPORTE SANITARIO,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8006,SANT0208,Atención sanitaria,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,SÍ,28938,18/8007,Desempleados,MOSTOLES,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,23187,916853090,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8007,SSCB0209,Actividades culturales y recreativas,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,NO,28938,18/8008,Desempleados,MOSTOLES,INGLÉS A1,23187,916853090,150,Servicios,INGLÉS A1,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8008,SSCE01,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
Servicios socioculturales y a la comunidad,NO,28938,18/8009,Desempleados,MOSTOLES,INGLÉS A1,23187,916853090,150,Servicios,INGLÉS A1,rramos@empesa.es,Presencial,"Calle Pintor Velazquez, 68  ",CCLL2018/8009,SSCE01,Formación y educación,CENTRO DE EMPLEO  Y PROMOCION ECONOMICA TIERNO GALVÁN
